,Location,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,Year,Month,Day
0,Albury,0.6,4.8,8.5,W,44.0,W,WNW,20.0,24.0,71.0,22.0,1007.7,1007.1,8.0,5.0,16.9,21.8,No,2008.0,12.0,1.0
9,Albury,1.4,4.8,8.5,W,28.0,S,SSE,15.0,11.0,58.0,27.0,1007.0,1005.7,5.0,5.0,20.1,28.2,Yes,2008.0,12.0,10.0
3011,BadgerysCreek,0.0,4.8,8.5,W,61.0,NNE,SE,11.0,19.0,67.0,52.0,1005.6,1015.2,5.0,5.0,21.0,21.1,No,2009.0,1.0,1.0
3022,BadgerysCreek,0.0,4.8,8.5,ESE,37.0,SW,ESE,4.0,22.0,78.0,50.0,1016.0,1015.8,5.0,5.0,21.2,27.7,Yes,2009.0,1.0,12.0
5939,Cobar,0.0,4.8,8.5,SSW,48.0,ENE,SW,6.0,20.0,20.0,13.0,1006.3,1004.4,2.0,5.0,26.6,33.4,No,2009.0,1.0,1.0
5958,Cobar,0.0,4.8,8.5,W,59.0,N,NW,19.0,17.0,54.0,14.0,1011.1,1008.5,1.0,7.0,27.0,37.0,Yes,2009.0,1.0,20.0
8927,CoffsHarbour,0.0,7.4,8.5,NNE,54.0,N,NNE,7.0,37.0,51.0,58.0,1005.9,1002.3,1.0,5.0,26.5,28.4,No,2009.0,1.0,1.0
8929,CoffsHarbour,0.0,3.4,8.5,SE,35.0,SE,E,20.0,19.0,70.0,59.0,1019.3,1018.8,8.0,7.0,21.7,23.7,Yes,2009.0,1.0,3.0
11880,Moree,0.0,4.8,9.3,NW,54.0,N,WNW,15.0,28.0,27.0,11.0,1005.5,1003.3,6.0,8.0,28.9,37.4,No,2009.0,1.0,1.0
11889,Moree,0.0,4.8,8.5,SW,39.0,N,N,13.0,9.0,51.0,29.0,1012.0,1007.3,2.0,5.0,21.1,30.4,Yes,2009.0,1.0,10.0
14734,Newcastle,0.0,4.8,8.5,W,39.0,NW,NW,6.0,19.0,50.0,24.0,1017.6,1015.2,3.0,4.0,21.8,30.6,No,2008.0,12.0,1.0
14746,Newcastle,0.0,4.8,8.5,W,39.0,N,NW,0.0,19.0,95.0,51.0,1017.6,1015.2,8.0,7.0,22.2,28.8,Yes,2008.0,12.0,13.0
17689,NorahHead,0.0,4.8,8.5,SSW,63.0,NW,NE,9.0,24.0,69.0,69.0,1005.3,1001.7,5.0,5.0,23.7,25.9,No,2009.0,1.0,1.0
17697,NorahHead,0.0,4.8,8.5,SSE,59.0,SSE,SE,13.0,30.0,64.0,59.0,1019.0,1018.3,5.0,5.0,19.3,20.9,Yes,2009.0,1.0,9.0
20618,NorfolkIsland,0.0,6.0,8.5,NNW,31.0,NNW,NW,13.0,19.0,84.0,71.0,1014.5,1013.6,3.0,1.0,23.3,24.7,No,2009.0,1.0,1.0
20621,NorfolkIsland,1.2,2.8,8.5,ESE,41.0,ESE,ESE,20.0,22.0,92.0,95.0,1016.0,1015.3,8.0,8.0,22.1,21.2,Yes,2009.0,1.0,4.0
23582,Penrith,0.0,4.8,8.5,WNW,59.0,NNE,W,13.0,22.0,35.0,23.0,1017.6,1015.2,5.0,5.0,24.4,31.3,No,2008.0,12.0,1.0
23589,Penrith,0.0,4.8,8.5,NNE,37.0,W,NNE,6.0,11.0,84.0,99.0,1017.6,1015.2,5.0,5.0,20.5,19.6,Yes,2008.0,12.0,8.0
26546,Richmond,0.0,4.8,8.5,W,61.0,ENE,W,9.0,31.0,70.0,52.0,1005.5,1001.0,5.0,5.0,20.0,32.1,No,2009.0,1.0,1.0
26554,Richmond,1.4,4.8,8.5,E,37.0,SSW,E,17.0,13.0,70.0,52.0,1020.3,1018.5,5.0,5.0,16.9,19.9,Yes,2009.0,1.0,9.0
29497,Sydney,0.0,6.2,8.5,W,39.0,S,SSW,17.0,20.0,92.0,84.0,1017.6,1017.4,8.0,8.0,20.7,20.9,Yes,2008.0,2.0,1.0
29507,Sydney,0.0,6.4,8.0,W,39.0,WNW,E,9.0,26.0,78.0,53.0,1017.6,1015.3,7.0,8.0,18.9,23.7,No,2008.0,2.0,11.0
32834,SydneyAirport,0.0,4.8,8.5,S,39.0,NW,NW,15.0,33.0,63.0,13.0,1005.3,1000.2,6.0,6.0,22.9,34.0,No,2009.0,1.0,1.0
32849,SydneyAirport,0.0,4.8,8.5,SSE,54.0,S,E,17.0,24.0,73.0,54.0,1013.0,1008.9,1.0,5.0,20.5,25.5,Yes,2009.0,1.0,16.0
35839,WaggaWagga,0.0,4.8,8.5,WNW,59.0,NW,W,7.0,35.0,37.0,24.0,1005.2,1003.5,1.0,1.0,20.8,27.0,No,2009.0,1.0,1.0
35859,WaggaWagga,0.0,4.8,8.5,N,65.0,NNE,NW,17.0,20.0,47.0,13.0,1009.3,1006.7,1.0,1.0,27.9,36.7,Yes,2009.0,1.0,21.0
38815,Williamtown,0.0,4.8,9.2,NW,41.0,WNW,SE,17.0,20.0,62.0,36.0,1005.2,1001.5,3.0,6.0,23.7,28.7,No,2009.0,1.0,1.0
38823,Williamtown,1.4,4.8,8.5,S,43.0,SE,SSE,24.0,28.0,61.0,51.0,1018.7,1017.6,8.0,6.0,19.1,21.9,Yes,2009.0,1.0,9.0
41368,Wollongong,0.0,4.8,8.5,SSE,39.0,N,E,13.0,19.0,70.0,63.0,1007.8,1005.8,5.0,5.0,16.7,23.9,No,2008.0,12.0,3.0
41373,Wollongong,0.0,4.8,8.5,ENE,54.0,S,ENE,11.0,37.0,79.0,77.0,1014.8,1011.9,8.0,8.0,18.7,20.4,Yes,2008.0,12.0,8.0
44351,Canberra,0.0,3.4,8.5,NW,30.0,SW,NW,6.0,20.0,68.0,29.0,1019.7,1015.0,7.0,7.0,14.4,23.6,No,2007.0,11.0,1.0
44352,Canberra,0.0,4.4,8.5,ENE,39.0,E,W,4.0,17.0,80.0,36.0,1012.4,1008.4,5.0,3.0,17.5,25.7,Yes,2007.0,11.0,2.0
47769,Tuggeranong,0.0,4.8,8.5,WNW,61.0,NW,WNW,22.0,33.0,36.0,34.0,1005.6,1003.6,5.0,5.0,19.6,23.1,No,2008.0,12.0,1.0
47780,Tuggeranong,0.0,4.8,8.5,ENE,46.0,E,E,6.0,11.0,92.0,90.0,1012.7,1006.7,5.0,5.0,12.9,14.4,Yes,2008.0,12.0,12.0
50767,MountGinini,0.4,4.8,8.5,W,39.0,N,SE,13.0,19.0,70.0,52.0,1017.6,1015.2,5.0,5.0,16.7,21.1,No,2008.0,12.0,1.0
50771,MountGinini,0.0,4.8,8.5,W,39.0,N,SE,13.0,19.0,70.0,52.0,1017.6,1015.2,5.0,5.0,16.7,21.1,Yes,2008.0,12.0,5.0
53674,Ballarat,0.0,4.8,8.5,W,52.0,W,WNW,26.0,30.0,71.0,37.0,1008.2,1007.5,6.0,5.0,10.4,15.7,Yes,2008.0,12.0,1.0
53675,Ballarat,0.4,4.8,8.5,WNW,44.0,WNW,WNW,20.0,24.0,66.0,47.0,1009.3,1007.3,6.0,8.0,12.5,17.6,No,2008.0,12.0,2.0
56702,Bendigo,0.0,7.4,8.5,W,44.0,WNW,WSW,20.0,20.0,47.0,23.0,1009.1,1007.5,2.0,5.0,14.0,19.4,No,2008.0,12.0,1.0
56711,Bendigo,0.0,2.0,8.5,SE,39.0,SE,S,24.0,17.0,62.0,30.0,1010.4,1009.3,1.0,3.0,15.3,21.6,Yes,2008.0,12.0,10.0
59736,Sale,0.0,4.8,8.5,WSW,39.0,W,WSW,13.0,31.0,46.0,62.0,1001.7,1003.4,4.0,6.0,18.4,16.7,No,2009.0,1.0,1.0
59758,Sale,1.2,6.6,8.5,E,43.0,SW,E,13.0,33.0,46.0,49.0,1008.2,1004.5,2.0,2.0,18.0,22.5,Yes,2009.0,1.0,23.0
62736,MelbourneAirport,0.0,5.6,8.8,SW,39.0,W,SW,33.0,19.0,55.0,37.0,1005.1,1006.4,7.0,7.0,15.9,18.1,No,2009.0,1.0,1.0
62737,MelbourneAirport,1.2,7.2,8.5,SSE,56.0,SW,SSE,31.0,26.0,50.0,43.0,1018.0,1019.3,6.0,7.0,12.5,15.8,Yes,2009.0,1.0,2.0
65745,Melbourne,0.0,2.8,8.5,W,63.0,W,W,37.0,35.0,60.0,38.0,1006.8,1010.3,1.0,7.0,11.0,14.6,Yes,2008.0,7.0,1.0
65746,Melbourne,0.6,5.2,8.5,W,63.0,W,WSW,30.0,35.0,66.0,52.0,1013.4,1016.2,7.0,4.0,11.8,13.7,No,2008.0,7.0,2.0
68180,Mildura,0.0,4.8,8.5,SSW,56.0,SW,WSW,17.0,31.0,51.0,24.0,1009.8,1008.5,6.0,1.0,19.2,26.0,No,2009.0,1.0,1.0
68242,Mildura,1.2,4.8,8.5,WSW,57.0,WNW,WSW,19.0,30.0,66.0,27.0,1019.4,1018.2,0.0,6.0,14.9,22.4,Yes,2009.0,3.0,4.0
71187,Nhil,0.2,4.8,8.5,SE,54.0,SSE,SE,28.0,30.0,62.0,27.0,1021.2,1019.3,5.0,5.0,14.3,25.3,No,2013.0,3.0,1.0
71214,Nhil,0.0,4.8,8.5,WSW,39.0,WNW,WSW,15.0,37.0,82.0,47.0,1017.8,1018.8,5.0,5.0,13.8,18.6,Yes,2013.0,3.0,28.0
72756,Portland,0.0,4.8,8.5,SW,59.0,SW,SW,28.0,28.0,97.0,99.0,1006.7,1010.5,5.0,6.0,13.7,14.5,No,2009.0,1.0,1.0
72757,Portland,0.0,4.8,8.5,SSW,39.0,SW,S,20.0,17.0,60.0,61.0,1020.0,1021.3,6.0,2.0,11.9,14.0,Yes,2009.0,1.0,2.0
75752,Watsonia,0.0,5.6,8.8,SSW,61.0,W,SW,19.0,31.0,56.0,48.0,1004.8,1006.0,7.0,7.0,16.9,18.0,No,2009.0,1.0,1.0
75814,Watsonia,0.0,4.8,8.5,W,57.0,NW,NW,17.0,20.0,56.0,58.0,1012.5,1012.0,1.0,7.0,14.1,15.8,Yes,2009.0,3.0,4.0
78751,Dartmoor,0.0,3.0,7.8,SW,48.0,N,SE,13.0,19.0,70.0,52.0,1017.6,1015.2,5.0,5.0,16.7,21.1,No,2009.0,3.0,5.0
78758,Dartmoor,0.0,5.0,8.5,SW,35.0,N,NW,0.0,19.0,90.0,51.0,1015.6,1014.1,5.0,5.0,18.8,27.9,Yes,2009.0,3.0,12.0
81694,Brisbane,0.0,4.8,8.5,WNW,26.0,SSW,W,6.0,15.0,81.0,37.0,1019.6,1014.8,0.0,1.0,14.9,24.6,No,2008.0,7.0,1.0
81699,Brisbane,0.0,5.2,8.5,ENE,31.0,SSW,E,7.0,17.0,78.0,52.0,1028.5,1025.7,5.0,2.0,15.9,20.0,Yes,2008.0,7.0,6.0
84855,Cairns,0.4,4.0,8.5,NE,31.0,E,ENE,7.0,13.0,62.0,66.0,1011.3,1008.1,5.0,7.0,31.2,30.7,No,2008.0,12.0,1.0
84856,Cairns,0.0,6.6,8.5,NE,35.0,S,NE,11.0,13.0,75.0,62.0,1011.9,1008.0,7.0,7.0,29.0,31.1,Yes,2008.0,12.0,2.0
87843,GoldCoast,0.0,4.8,8.5,NNW,31.0,NNW,NE,17.0,22.0,52.0,61.0,1013.5,1010.7,5.0,5.0,26.2,28.5,No,2008.0,12.0,1.0
87848,GoldCoast,0.0,4.8,8.5,NW,48.0,NW,NW,22.0,17.0,52.0,50.0,1011.2,1006.7,5.0,5.0,29.4,31.9,Yes,2008.0,12.0,6.0
90823,Townsville,0.0,4.6,8.5,ENE,33.0,NE,ENE,11.0,26.0,72.0,74.0,1011.9,1008.9,5.0,4.0,30.1,30.1,Yes,2008.0,12.0,1.0
90824,Townsville,0.6,4.8,8.5,ENE,37.0,E,ENE,19.0,28.0,72.0,70.0,1012.4,1008.9,2.0,2.0,29.7,30.4,No,2008.0,12.0,2.0
93856,Adelaide,0.0,4.8,8.5,NW,48.0,SW,W,13.0,15.0,92.0,67.0,1017.4,1017.7,5.0,5.0,13.5,14.9,Yes,2008.0,7.0,1.0
93857,Adelaide,0.8,4.8,7.8,SW,35.0,SSW,SW,13.0,15.0,75.0,52.0,1022.4,1022.6,5.0,5.0,13.7,15.5,No,2008.0,7.0,2.0
96946,MountGambier,0.0,5.0,8.5,WNW,61.0,WNW,WNW,20.0,30.0,73.0,39.0,1009.4,1008.9,3.0,3.0,13.4,17.8,Yes,2008.0,12.0,1.0
96947,MountGambier,0.0,5.4,8.5,W,50.0,NW,WNW,17.0,31.0,74.0,49.0,1009.8,1008.9,8.0,8.0,14.4,16.2,No,2008.0,12.0,2.0
99976,Nuriootpa,0.0,4.8,8.5,WSW,61.0,SW,W,22.0,28.0,66.0,37.0,1010.4,1011.4,7.0,2.0,16.7,21.1,No,2009.0,1.0,1.0
100026,Nuriootpa,0.0,4.8,8.5,S,37.0,SW,W,9.0,24.0,66.0,44.0,1016.6,1015.8,7.0,4.0,17.0,23.4,Yes,2009.0,2.0,20.0
102978,Woomera,0.0,4.8,8.5,S,54.0,S,S,28.0,26.0,56.0,18.0,1010.9,1010.1,5.0,5.0,18.9,27.5,No,2009.0,1.0,1.0
103040,Woomera,0.0,4.8,8.5,S,56.0,SSW,SSW,22.0,26.0,58.0,28.0,1024.4,1022.2,1.0,1.0,15.4,23.9,Yes,2009.0,3.0,4.0
105968,Albany,0.0,3.8,8.9,W,39.0,NNW,SW,4.0,17.0,82.0,63.0,1017.9,1015.2,7.0,5.0,15.2,17.9,No,2008.0,12.0,1.0
105971,Albany,0.0,7.0,8.5,W,39.0,N,WSW,13.0,19.0,69.0,81.0,1006.7,1008.5,5.0,7.0,19.8,18.0,Yes,2008.0,12.0,4.0
108984,Witchcliffe,0.0,4.8,8.5,SSE,39.0,ESE,SSE,19.0,22.0,66.0,49.0,1015.0,1012.0,5.0,5.0,17.5,27.7,No,2009.0,1.0,1.0
108996,Witchcliffe,0.0,4.8,8.5,SW,31.0,SSW,SW,17.0,17.0,51.0,47.0,1017.8,1017.4,5.0,5.0,18.9,22.3,Yes,2009.0,1.0,13.0
111936,PearceRAAF,0.0,4.8,8.5,E,50.0,ESE,SE,22.0,13.0,46.0,20.0,1010.4,1007.2,5.0,5.0,23.1,35.6,No,2009.0,1.0,1.0
112037,PearceRAAF,0.0,4.8,8.0,SE,44.0,SE,SSE,7.0,22.0,55.0,35.0,1015.9,1013.3,4.0,6.0,21.5,27.0,Yes,2009.0,4.0,14.0
114698,PerthAirport,0.0,4.8,8.5,E,56.0,E,ENE,30.0,15.0,48.0,22.0,1011.0,1007.9,0.0,5.0,22.2,35.0,No,2009.0,1.0,1.0
114716,PerthAirport,0.0,4.8,8.5,E,39.0,SSE,SSE,17.0,20.0,68.0,39.0,1016.8,1013.9,1.0,1.0,19.5,28.0,Yes,2009.0,1.0,19.0
117707,Perth,0.0,4.8,9.1,ENE,20.0,N,E,0.0,7.0,97.0,53.0,1027.6,1024.5,2.0,3.0,8.5,18.1,No,2008.0,7.0,1.0
117710,Perth,0.0,4.8,8.5,W,26.0,NNE,NNW,11.0,6.0,93.0,73.0,1019.3,1018.4,6.0,6.0,13.2,17.7,Yes,2008.0,7.0,4.0
120900,SalmonGums,0.4,4.8,8.5,E,46.0,ESE,SE,28.0,20.0,62.0,28.0,1017.6,1015.2,5.0,5.0,18.2,30.1,No,2009.0,1.0,1.0
120918,SalmonGums,0.0,4.8,8.5,SSE,41.0,SE,S,24.0,22.0,94.0,94.0,1017.6,1015.2,5.0,5.0,15.4,16.0,Yes,2009.0,1.0,19.0
123855,Walpole,0.0,4.8,8.5,ESE,44.0,E,SE,17.0,28.0,73.0,66.0,1016.5,1014.0,5.0,5.0,18.0,23.1,No,2009.0,1.0,1.0
123876,Walpole,0.0,4.8,8.5,WNW,46.0,WSW,WNW,13.0,28.0,78.0,63.0,1011.7,1010.6,5.0,5.0,19.4,22.4,Yes,2009.0,1.0,22.0
126674,Hobart,0.0,3.4,8.5,WSW,39.0,NNE,NW,17.0,24.0,72.0,42.0,1017.6,1015.2,6.0,5.0,6.5,12.1,Yes,2008.0,7.0,1.0
126677,Hobart,1.0,4.8,8.3,NNW,28.0,NW,N,17.0,9.0,76.0,54.0,1028.9,1028.1,1.0,1.0,3.2,9.6,No,2008.0,7.0,4.0
129862,Launceston,0.0,4.8,8.5,WNW,57.0,WNW,NW,19.0,28.0,53.0,61.0,1017.6,1000.7,5.0,5.0,12.9,14.1,Yes,2008.0,12.0,1.0
129864,Launceston,1.0,5.8,8.5,WSW,50.0,NW,WNW,17.0,24.0,62.0,37.0,1002.4,1004.2,5.0,5.0,13.7,16.5,No,2008.0,12.0,3.0
132890,AliceSprings,0.0,4.8,8.5,WNW,39.0,NNE,NE,20.0,11.0,70.0,16.0,1010.5,1005.8,0.0,3.0,30.4,37.2,No,2008.0,12.0,1.0
132891,AliceSprings,1.2,4.8,8.5,NNW,41.0,NNW,S,24.0,9.0,18.0,13.0,1009.3,1004.6,2.0,5.0,32.5,38.2,Yes,2008.0,12.0,2.0
135921,Darwin,0.0,4.4,8.5,E,41.0,ENE,SSE,13.0,17.0,81.0,32.0,1016.0,1012.1,1.0,2.0,25.4,32.3,No,2008.0,7.0,1.0
136006,Darwin,0.0,7.0,8.5,ENE,35.0,ESE,SW,17.0,19.0,77.0,43.0,1014.9,1010.7,6.0,6.0,25.9,32.4,Yes,2008.0,9.0,24.0
139113,Katherine,0.0,4.0,8.5,WNW,43.0,NW,W,17.0,19.0,74.0,49.0,1008.5,1005.0,7.0,3.0,28.7,34.1,No,2013.0,3.0,1.0
139116,Katherine,0.0,4.8,8.5,W,37.0,NW,WNW,13.0,20.0,95.0,64.0,1005.1,1002.0,8.0,5.0,25.1,31.2,Yes,2013.0,3.0,4.0
140672,Uluru,0.8,4.8,8.5,ESE,48.0,E,E,30.0,24.0,76.0,54.0,1010.6,1007.5,5.0,5.0,21.7,28.4,No,2013.0,3.0,1.0
54555,Albury,0.6,4.8,8.5,W,44.0,W,WNW,20.0,24.0,71.0,22.0,1007.7,1007.1,8.0,5.0,16.9,21.8,No,2008.0,12.0,1.0
54555,Albury,0.6,4.8,8.5,W,44.0,W,WNW,20.0,24.0,71.0,22.0,1007.7,1007.1,8.0,5.0,16.9,21.8,No,2008.0,12.0,1.0
54555,Albury,0.6,4.8,8.5,W,44.0,W,WNW,20.0,24.0,71.0,22.0,1007.7,1007.1,8.0,5.0,16.9,21.8,No,2008.0,12.0,1.0
54555,Albury,0.6,4.8,8.5,W,44.0,W,WNW,20.0,24.0,71.0,22.0,1007.7,1007.1,8.0,5.0,16.9,21.8,No,2008.0,12.0,1.0
54555,Albury,0.6,4.8,8.5,W,44.0,W,WNW,20.0,24.0,71.0,22.0,1007.7,1007.1,8.0,5.0,16.9,21.8,No,2008.0,12.0,1.0
54555,Albury,0.6,4.8,8.5,W,44.0,W,WNW,20.0,24.0,71.0,22.0,1007.7,1007.1,8.0,5.0,16.9,21.8,No,2008.0,12.0,1.0
54555,Albury,0.6,4.8,8.5,W,44.0,W,WNW,20.0,24.0,71.0,22.0,1007.7,1007.1,8.0,5.0,16.9,21.8,No,2008.0,12.0,1.0
54555,Albury,0.6,4.8,8.5,W,44.0,W,WNW,20.0,24.0,71.0,22.0,1007.7,1007.1,8.0,5.0,16.9,21.8,No,2008.0,12.0,1.0
54555,Albury,0.6,4.8,8.5,W,44.0,W,WNW,20.0,24.0,71.0,22.0,1007.7,1007.1,8.0,5.0,16.9,21.8,No,2008.0,12.0,1.0
54555,Albury,0.6,4.8,8.5,W,44.0,W,WNW,20.0,24.0,71.0,22.0,1007.7,1007.1,8.0,5.0,16.9,21.8,No,2008.0,12.0,1.0
54555,Albury,0.6,4.8,8.5,W,44.0,W,WNW,20.0,24.0,71.0,22.0,1007.7,1007.1,8.0,5.0,16.9,21.8,No,2008.0,12.0,1.0
54555,Albury,0.6,4.8,8.5,W,44.0,W,WNW,20.0,24.0,71.0,22.0,1007.7,1007.1,8.0,5.0,16.9,21.8,No,2008,12,1
54555,Albury,0.6,4.8,8.5,W,44.0,W,WNW,20.0,24.0,71.0,22.0,1007.7,1007.1,8.0,5.0,16.9,21.8,No,2008,12,1
54555,Albury,0.6,4.8,8.5,W,44.0,W,WNW,20.0,24.0,71.0,22.0,1007.7,1007.1,8.0,5.0,16.9,21.8,No,2008,12,1
54555,Albury,0.6,4.8,8.5,W,44.0,W,WNW,20.0,24.0,71.0,22.0,1007.7,1007.1,8.0,5.0,16.9,21.8,No,2008,12,1
54555,Albury,0.6,4.8,8.5,W,44.0,W,WNW,20.0,24.0,71.0,22.0,1007.7,1007.1,8.0,5.0,16.9,21.8,No,2008,12,1
54555,Albury,0.6,4.8,8.5,W,44.0,W,WNW,20.0,24.0,71.0,22.0,1007.7,1007.1,8.0,5.0,16.9,21.8,No,2008,12,1
54555,Albury,0.6,4.8,8.5,W,44.0,W,WNW,20.0,24.0,71.0,22.0,1007.7,1007.1,8.0,5.0,16.9,21.8,No,2008,12,1
54555,Albury,0.6,4.8,8.5,W,44.0,W,WNW,20.0,24.0,71.0,22.0,1007.7,1007.1,8.0,5.0,16.9,21.8,No,2008,12,1
54555,Albury,0.6,4.8,8.5,W,44.0,W,WNW,20.0,24.0,71.0,22.0,1007.7,1007.1,8.0,5.0,16.9,21.8,No,2008,12,1
54555,Albury,0.6,4.8,8.5,W,44.0,W,WNW,20.0,24.0,71.0,22.0,1007.7,1007.1,8.0,5.0,16.9,21.8,No,2008,12,1
54555,Albury,0.6,4.8,8.5,W,44.0,W,WNW,20.0,24.0,71.0,22.0,1007.7,1007.1,8.0,5.0,16.9,21.8,No,2008,12,1